searchText|country
Burgstädter Straße, 04277 Leipzig|DEU
Karl-Liebknecht-Straße, 04277 Leipzig|DEU
Pfeffingerstraße, 04277 Leipzig|DEU
Probstheidaer Straße, 04277 Leipzig|DEU
Richard-Lehmann-Straße, 04277 Leipzig|DEU
Richard-Lehmann-Straße 110, 04277 Leipzig|DEU
Wolfgang-Heinze-Straße, 04277 Leipzig|DEU
An der Märchenwiese 49, 04277 Leipzig|DEU
Rübezahlweg, 04277 Leipzig|DEU
Bernhard-Kellermann-Straße 8, 04279 Leipzig|DEU
Dürrstraße 69, 04279 Leipzig|DEU
Hans-Marchwitza-Straße, 04279 Leipzig|DEU
Johannes-R.-Becher-Straße 11, 04279 Leipzig|DEU
Johannes-R.-Becher-Straße 13, 04279 Leipzig|DEU
Johannes-R.-Becher-Straße 22, 04279 Leipzig|DEU
Johannes-R.-Becher-Straße 3, 04279 Leipzig|DEU
Kurt-Tucholsky-Straße 2, 04279 Leipzig|DEU
Liechtensteinstraße, 04279 Leipzig|DEU
Probstheidaer Straße, 04279 Leipzig|DEU
Siegfriedstraße, 04279 Leipzig|DEU
Zwickauer Straße, 04279 Leipzig|DEU
Bornaische Straße, 04279 Leipzig|DEU
Eigenheimstraße, 04279 Leipzig|DEU
Friederikenstraße 50, 04279 Leipzig|DEU
Georg-Maurer-Straße 23, 04279 Leipzig|DEU
Holbeinstraße, 04229 Leipzig|DEU
Könneritzstraße 101, 04229 Leipzig|DEU
Rödelstraße, 04229 Leipzig|DEU
Engertstraße, 04229 Leipzig|DEU
Erich-Zeigner-Allee 20, 04229 Leipzig|DEU
Erich-Zeigner-Allee 69, 04229 Leipzig|DEU
Erich-Zeigner-Allee 91, 04229 Leipzig|DEU
Gießerstraße, 04229 Leipzig|DEU
Markranstädter Straße, 04229 Leipzig|DEU
Diezmannstraße 61, 04207 Leipzig|DEU
Gärtnerstraße 36, 04207 Leipzig|DEU
Herrmann-Meyer-Straße "55/57", 04207 Leipzig|DEU
Nikolai-Rumjanzew-Straße, 04207 Leipzig|DEU
Ratzelstraße 59, 04207 Leipzig|DEU
Ratzelstraße 91, 04207 Leipzig|DEU
Dieskaustraße, 04229 Leipzig|DEU
Dieskaustraße 133, 04229 Leipzig|DEU
Kantatenweg, 04229 Leipzig|DEU
Luckaer Straße, 04229 Leipzig|DEU
Windorfer Straße, 04229 Leipzig|DEU
Arthur-Nagel-Straße, 04249 Leipzig|DEU
Arthur-Nagel-Straße 7, 04249 Leipzig|DEU
Brauereistraße, 04249 Leipzig|DEU
Dieskaustraße 295, 04249 Leipzig|DEU
Eichelbaumstraße 15, 04249 Leipzig|DEU
Kloßstraße, 04249 Leipzig|DEU
Neubauernstraße 9, 04249 Leipzig|DEU
Raiffeisenstraße, 04249 Leipzig|DEU
Dieskaustraße 375, 04249 Leipzig|DEU
Dieskaustraße 483, 04249 Leipzig|DEU
Seumestraße 20, 04249 Leipzig|DEU
Wildentensteig, 04249 Leipzig|DEU
Erikenstraße 32, 04249 Leipzig|DEU
Erikenstraße 46, 04249 Leipzig|DEU
Rehbacher Anger, 04249 Leipzig|DEU
Am Schwalbennest, 04205 Leipzig|DEU
Am Schwalbennest 16, 04205 Leipzig|DEU
Jenaer Straße, 04205 Leipzig|DEU
Jenaer Straße, 04205 Leipzig|DEU
Lindennaundorfer Weg 18, 04205 Leipzig|DEU
Schönauer Ring, 04205 Leipzig|DEU
Schönauer Ring 1, 04205 Leipzig|DEU
Suhler Straße, 04205 Leipzig|DEU
Weimaer Straße, 04205 Leipzig|DEU
Alte Salzstraße 52, 04209 Leipzig|DEU
Asternweg 44, 04209 Leipzig|DEU
Dahlienstraße 101, 04209 Leipzig|DEU
Dahlienstraße 31, 04209 Leipzig|DEU
Gärtnerstraße 155, 04209 Leipzig|DEU
Gärtnerstraße 41, 04209 Leipzig|DEU
Grünauer Allee 37, 04209 Leipzig|DEU
Nelkenweg 15, 04209 Leipzig|DEU
Rosenweg 20, 04209 Leipzig|DEU
Straße am Park 4, 04209 Leipzig|DEU
Weißdornstraße, 04209 Leipzig|DEU
Weißdornstraße 84, 04209 Leipzig|DEU
Alte Salzstraße 183, 04209 Leipzig|DEU
Am Kirschberg 13, 04209 Leipzig|DEU
